age,wc,education,marital status,race,gender,hours per week,IncomeClass
38,0,0,2,1,0,40,0
28,0,2,1,0,1,40,0
37,0,4,1,1,1,40,0
31,0,4,0,1,1,50,1
42,0,2,1,1,0,40,1
37,0,1,1,0,0,80,1
23,0,2,0,1,1,30,0
32,0,0,0,1,0,40,0
40,0,5,1,1,0,60,1
59,0,0,2,1,1,40,0
56,1,2,1,1,0,40,1
19,0,0,0,1,0,40,0
39,0,0,2,1,0,80,0
49,0,0,1,1,0,40,0
20,0,1,0,0,0,44,0
45,0,2,2,1,0,40,0
30,2,1,1,1,0,40,0
21,0,1,0,1,0,40,0
19,0,0,1,1,1,25,0
31,0,1,1,1,0,38,1
24,0,2,1,1,0,50,0
25,0,0,0,1,0,35,0
57,2,2,1,0,0,40,1
53,0,0,1,1,0,38,0
44,0,4,2,1,1,40,0
25,0,1,1,4,1,40,0
18,0,0,0,1,1,30,0
47,0,3,1,1,1,60,1
50,2,2,2,1,0,55,1
43,0,1,1,1,0,40,1
41,0,0,1,1,0,48,0
30,0,0,1,1,0,40,0
30,0,2,1,1,0,40,0
48,0,0,1,1,0,40,0
42,0,5,1,1,0,45,1
29,0,1,2,1,0,58,0
36,0,0,1,1,0,40,0
28,0,1,2,1,1,40,0
53,0,0,1,1,1,40,1
19,0,1,0,1,0,32,0
23,0,1,0,1,0,40,0
79,0,1,1,1,0,20,0
27,0,0,0,1,0,40,0
18,0,0,0,1,0,30,0
52,0,2,1,1,0,40,0
46,0,0,1,1,1,40,0
59,0,0,1,1,0,48,0
44,0,0,2,1,1,40,1
53,0,0,2,1,1,35,0
49,1,0,1,1,0,40,1
33,0,4,1,1,0,50,0
43,2,5,0,1,1,50,1
37,0,1,2,1,1,40,0
28,0,1,2,0,1,25,0
30,0,0,1,2,1,35,0
34,1,2,1,1,0,40,1
29,1,1,0,1,0,50,0
37,0,1,1,1,0,48,1
32,2,0,0,0,0,40,0
76,0,4,1,1,0,40,1
44,0,2,1,1,0,60,1
20,0,1,0,1,1,40,0
29,0,0,0,1,0,40,0
31,1,0,0,1,1,40,0
42,0,0,1,1,0,40,0
24,0,2,0,1,0,40,0
38,0,3,1,1,0,40,1
28,0,1,1,1,1,25,0
36,0,0,0,1,1,40,0
55,0,1,1,1,0,56,0
22,0,0,0,1,0,41,0
21,0,1,0,1,1,40,0
40,0,2,1,1,0,60,0
30,0,2,0,0,0,40,0
19,0,1,0,0,0,35,0
47,0,2,1,1,1,40,1
20,0,1,0,1,1,28,0
39,0,1,2,1,0,40,0
24,0,0,0,1,1,40,0
37,0,2,1,1,0,50,0
38,2,4,1,1,0,40,1
20,0,1,0,1,0,20,0
49,0,1,1,2,0,40,1
27,0,1,0,1,1,40,0
19,0,1,0,1,0,30,0
70,0,1,0,1,0,40,0
31,0,0,0,0,1,30,0
22,0,1,1,1,0,24,0
36,0,0,3,1,1,24,0
47,1,1,2,1,1,38,0
34,0,0,0,1,1,40,0
33,0,2,0,2,1,40,0
21,0,0,0,1,0,35,0
48,0,0,1,1,0,46,0
23,0,2,0,1,0,40,0
29,0,0,2,1,0,60,0
25,0,0,0,1,1,40,0
28,0,0,0,2,1,40,0
36,0,1,2,1,1,40,0
27,0,0,0,1,0,40,0
51,0,1,1,1,0,40,1
27,0,2,0,1,0,50,0
27,0,0,1,1,1,25,0
21,0,0,0,0,0,40,0
34,0,0,0,0,0,40,0
18,0,0,0,1,0,12,0
33,0,2,1,1,0,65,0
44,1,1,1,0,0,38,1
43,0,1,2,1,1,40,0
30,0,1,0,0,0,45,0
37,2,1,1,1,0,42,1
34,0,0,1,0,0,40,0
31,0,4,1,1,1,50,0
38,0,1,2,0,1,28,0
24,0,1,1,1,0,40,0
41,1,2,1,0,0,40,0
47,0,1,1,1,0,45,0
41,2,2,1,1,0,24,0
36,0,1,2,1,0,40,0
40,2,4,0,1,1,55,1
35,0,4,1,1,0,40,1
26,0,4,0,1,1,40,0
51,0,2,1,1,0,50,1
42,1,1,0,1,1,40,0
36,0,2,1,0,0,36,1
35,0,0,2,1,0,60,0
44,1,0,1,0,0,40,0
37,0,0,1,1,0,40,1
35,0,1,0,3,1,40,0
60,0,0,1,2,0,40,0
37,0,2,0,0,0,60,1
38,0,2,1,1,0,50,0
45,0,2,1,1,0,55,0
31,0,1,1,1,0,40,0
90,0,0,0,0,0,40,0
